142192,2017-11-20 21:24:54.801804,1511241894.8018198,Would you recommend us to a friend?,1
142193,2017-11-20 21:24:56.303761,1511241896.3037791,Would you recommend us to a friend?,1
142194,2017-11-20 21:24:57.569728,1511241897.5697432,Would you recommend us to a friend?,-1
142195,2017-11-20 21:24:58.678953,1511241898.67897,Did you like the quality of the art?,-1
142196,2017-11-20 21:24:59.732204,1511241899.732219,Did you like the quality of the art?,1
142197,2017-11-20 21:25:00.764026,1511241900.764043,Did you like the quality of the art?,1
142198,2017-11-20 21:25:01.796107,1511241901.796122,How friendly was the staff?,-1
142199,2017-11-20 21:25:02.927963,1511241902.927975,How friendly was the staff?,1
142200,2017-11-20 21:25:04.492956,1511241904.492971,Did you enjoy your visit?,1
142201,2017-11-20 21:25:05.681835,1511241905.6818502,Did you like the quality of the art?,1
142202,2017-11-20 21:25:06.915940,1511241906.915958,Did you like the quality of the art?,-1
142203,2017-11-20 21:25:08.092034,1511241908.0920498,Would you recommend us to a friend?,-1
142204,2017-11-20 21:25:09.315922,1511241909.315941,Did you like the quality of the art?,1
142205,2017-11-20 21:25:10.503548,1511241910.503563,Did you like the quality of the art?,1
142206,2017-11-20 21:25:11.418567,1511241911.418586,Did you enjoy your visit?,-1
142207,2017-11-20 21:25:12.400221,1511241912.4002361,How friendly was the staff?,1
142208,2017-11-20 21:25:13.439124,1511241913.4391391,Would you recommend us to a friend?,1
142209,2017-11-20 21:25:14.273279,1511241914.273288,Did you like the quality of the art?,-1
142210,2017-11-20 21:25:15.174082,1511241915.1740968,How friendly was the staff?,1
142211,2017-11-20 21:25:16.096538,1511241916.0965528,Would you recommend us to a friend?,1
142212,2017-11-20 21:25:16.990109,1511241916.990124,Would you recommend us to a friend?,1
142213,2017-11-20 21:25:17.802994,1511241917.803009,Did you enjoy your visit?,-1
142214,2017-11-20 21:25:18.630649,1511241918.6306639,Would you recommend us to a friend?,-1
142215,2017-11-20 21:25:19.633056,1511241919.6330712,Did you enjoy your visit?,1
142216,2017-11-20 21:25:20.494171,1511241920.494186,Did you enjoy your visit?,-1
142217,2017-11-20 21:25:21.401728,1511241921.4017432,Did you like the quality of the art?,1
142218,2017-11-20 21:25:22.306755,1511241922.3067698,Would you recommend us to a friend?,1
142219,2017-11-20 21:25:23.174481,1511241923.174498,How friendly was the staff?,1
142220,2017-11-20 21:25:24.097192,1511241924.097207,Did you enjoy your visit?,-1
142221,2017-11-20 21:25:24.949676,1511241924.949684,How friendly was the staff?,1
